,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
0,-1,0,PEARLS,10002,1,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10003.0
1,-1,0,BANANAS,4951,1,4946.0,2.0,4945.0,29.0,4952,31,,,,,4951.5
2,-1,100,PEARLS,9996,2,9995.0,22.0,,,10004,2,10005.0,22.0,,,10000.0
3,-1,100,BANANAS,4945,24,,,,,4952,24,,,,,4948.5
4,-1,200,BANANAS,4945,20,,,,,4952,20,,,,,4948.5
5,-1,200,PEARLS,9995,20,,,,,10005,20,,,,,10000.0
6,-1,300,PEARLS,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0
7,-1,300,BANANAS,4945,31,,,,,4952,31,,,,,4948.5
8,-1,400,PEARLS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0
9,-1,400,BANANAS,4945,27,,,,,4952,27,,,,,4948.5
10,-1,500,PEARLS,9995,30,,,,,10002,4,10005.0,30.0,,,9998.5
11,-1,500,BANANAS,4945,30,,,,,4950,4,4952.0,30.0,,,4947.5
12,-1,600,BANANAS,4945,25,,,,,4952,25,,,,,4948.5
13,-1,600,PEARLS,10000,5,9995.0,25.0,,,10005,25,,,,,10002.5
14,-1,700,PEARLS,9995,23,,,,,10005,23,,,,,10000.0
15,-1,700,BANANAS,4945,23,,,,,4952,23,,,,,4948.5
16,-1,800,PEARLS,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0
17,-1,800,BANANAS,4944,30,,,,,4951,30,,,,,4947.5
18,-1,900,BANANAS,4944,1,4943.0,22.0,,,4950,23,,,,,4947.0
19,-1,900,PEARLS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0
20,-1,1000,BANANAS,4944,26,,,,,4951,26,,,,,4947.5
21,-1,1000,PEARLS,9995,26,,,,,10005,26,,,,,10000.0
22,-1,1100,BANANAS,4944,26,,,,,4950,2,4951.0,24.0,,,4947.0
23,-1,1100,PEARLS,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0
24,-1,1200,PEARLS,9995,21,,,,,9998,1,10005.0,21.0,,,9996.5
25,-1,1200,BANANAS,4944,21,,,,,4951,21,,,,,4947.5
26,-1,1300,PEARLS,10002,1,9996.0,1.0,9995.0,30.0,10004,1,10005.0,30.0,,,10003.0
27,-1,1300,BANANAS,4944,31,,,,,4951,31,,,,,4947.5
28,-1,1400,BANANAS,4945,26,,,,,4951,1,4952.0,25.0,,,4948.0
29,-1,1400,PEARLS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0
30,-1,1500,PEARLS,9995,27,,,,,10005,27,,,,,10000.0
31,-1,1500,BANANAS,4944,27,,,,,4951,27,,,,,4947.5
32,-1,1600,PEARLS,9995,29,,,,,10005,29,,,,,10000.0
33,-1,1600,BANANAS,4945,29,,,,,4952,29,,,,,4948.5
34,-1,1700,PEARLS,9996,2,9995.0,20.0,,,10002,1,10004.0,2.0,10005.0,20.0,9999.0
35,-1,1700,BANANAS,4946,2,4945.0,20.0,,,4950,2,4952.0,22.0,,,4948.0
36,-1,1800,BANANAS,4946,1,4945.0,22.0,,,4952,23,,,,,4949.0
37,-1,1800,PEARLS,10002,1,9996.0,1.0,9995.0,22.0,10004,1,10005.0,22.0,,,10003.0
38,-1,1900,PEARLS,9996,1,9995.0,28.0,,,10004,1,10005.0,28.0,,,10000.0
39,-1,1900,BANANAS,4950,1,4945.0,29.0,,,4952,29,,,,,4951.0
40,-1,2000,PEARLS,9996,2,9995.0,24.0,,,9998,1,10004.0,2.0,10005.0,24.0,9997.0
